Subscribe and get bonuses for every ride,Suscríbete y obtén bonos en cada viaje,Suscríbete y obtén bonos en cada viaje,Suscríbete y obtén bonos en cada viaje,UI,
City to city from $32 $44,Entre ciudades desde COP 130.000 COP 176.000,"Entre ciudades desde S/ 123,50 S/ 167,00",Entre ciudades desde $32.50 $44.00,DATA,цена + перечёркнутая старая цена
Private ride to Cambridge,Viaje privado a Chía,Viaje privado a Chía,Viaje privado a Chía,DATA,
City ride from $12 $16,Viaje en la ciudad desde COP 13.000 COP 17.000,"Viaje en la ciudad desde S/ 12,50 S/ 16,00",Viaje en la ciudad desde $3.25 $4.25,DATA,
10km included,10 km incluidos,10 km incluidos,10 km incluidos,UI,
1 mover from $50,1 ayudante desde COP 85.000,"1 ayudante desde S/ 81,00",1 ayudante desde $21.25,DATA,
Cargo moving in 3 hours,Mudanza en 3 horas,Mudanza en 3 horas,Mudanza en 3 horas,UI,
City rides,Viajes en la ciudad,Viajes en la ciudad,Viajes en la ciudad,UI,
Market,Mercado,Mercado,Mercado,UI,
NEW,NUEVO,NUEVO,NUEVO,UI,
City to City,Entre ciudades,Entre ciudades,Entre ciudades,UI,дубль с другим регистром
Couriers,Mensajería,Mensajería,Mensajería,UI,
Choose a City ride,Elige un viaje en la ciudad,Elige un viaje en la ciudad,Elige un viaje en la ciudad,UI,
Comfort,Confort,Confort,Confort,UI,тариф поездки
Go to the City,Ir a la ciudad,Ir a la ciudad,Ir a la ciudad,UI,
Send fast and safe,Envía rápido y seguro,Envía rápido y seguro,Envía rápido y seguro,UI,
Clothes,Ropa,Ropa,Ropa,UI,подтверждено референсом UI Examples
Food,Comida,Comida,Comida,UI,
Electronics,Electrónicos,Electrónicos,Electrónicos,UI,
Delivery from S/3.7,Domicilio desde COP 6.000,"Domicilio desde S/ 5,50",Domicilio desde $1.50,DATA,"было в перуанских солях, конвертировано в COP"
Safety above all,La seguridad ante todo,La seguridad ante todo,La seguridad ante todo,UI,
Visit loved ones,Visita a tus seres queridos,Visita a tus seres queridos,Visita a tus seres queridos,UI,
Delivery for business,Entregas para empresas,Entregas para empresas,Entregas para empresas,UI,
Intercity Prices,Tarifas entre ciudades,Tarifas entre ciudades,Tarifas entre ciudades,UI,
Gifts to send,Regalos para enviar,Regalos para enviar,Regalos para enviar,UI,
Russel,Camilo,Camilo,Camilo,DATA,"имя в собственном профиле (side menu), не карточка курьера"
4.5 (157),"4,5 (157)","4,5 (157)","4,5 (157)",DATA,"формат рейтинга, запятая вместо точки"
Toyota Allex,Chevrolet Spark,Chevrolet Spark,Chevrolet Spark,DATA,"машина непопулярна в Колумбии, заменена"
City,Viajes,Viajes,Viajes,UI,пункт бокового меню
Request history,Historial de viajes,Historial de viajes,Historial de viajes,UI,
Buissiness delivery,Entregas empresariales,Entregas empresariales,Entregas empresariales,UI,опечатка в оригинале сохранена как есть по смыслу
Notifications,Notificaciones,Notificaciones,Notificaciones,UI,
Safety,Seguridad,Seguridad,Seguridad,UI,
Settings,Configuración,Configuración,Configuración,UI,
Help,Ayuda,Ayuda,Ayuda,UI,
Support,Soporte,Soporte,Soporte,UI,
Driver mode,Modo conductor,Modo conductor,Modo conductor,UI,
History,Historial,Historial,Historial,UI,
"16 Sep, 8:44 AM","16 sept, 8:44 a.m.","16 sept, 8:44 a.m.","16 sept, 8:44 a.m.",DATA,
"Douriou Ippou 17, Germasogeia, Cyprus","Calle 26 # 68-90, Bogotá","Calle 26 # 68-90, Bogotá","Calle 26 # 68-90, Bogotá",DATA,
"Victory House, Victory tower, Arch. Makarios III Avenue 205, Limassol 3030, Cyprus","Aeropuerto El Dorado, Bogotá","Aeropuerto El Dorado, Bogotá","Aeropuerto El Dorado, Bogotá",DATA,
$14.00,COP 18.000,"S/ 17,00",$4.50,DATA,
"14 Sep, 8:44","14 sept, 8:44","14 sept, 8:44","14 sept, 8:44",DATA,
28 Cook St (Randwick),Carrera 11 # 93-45 (Chicó),Carrera 11 # 93-45 (Chicó),Carrera 11 # 93-45 (Chicó),DATA,
"Georgiou Griva Digeni 39, Ypsonas 4180, Cyprus",Calle 63 # 9-20 (Chapinero),Calle 63 # 9-20 (Chapinero),Calle 63 # 9-20 (Chapinero),DATA,
Door-to-door,Puerta a puerta,Puerta a puerta,Puerta a puerta,UI,
$12.00,COP 15.000,"S/ 14,00",$3.75,DATA,
"14 Sep, 17:56","14 sept, 17:56","14 sept, 17:56","14 sept, 17:56",DATA,
3 Lovett St (Manly),Carrera 19 # 104-30 (Usaquén),Carrera 19 # 104-30 (Usaquén),Carrera 19 # 104-30 (Usaquén),DATA,
"Spyrou Kyprianou 11, Germasogeia 4043, Cyprus",Calle 140 # 12-08 (Usaquén),Calle 140 # 12-08 (Usaquén),Calle 140 # 12-08 (Usaquén),DATA,
Driver cancelled,El conductor canceló,El conductor canceló,El conductor canceló,UI,
fare,tarifa,tarifa,tarifa,CHECK,"похоже на fallback-плейсхолдер, проверить видно ли это реально в UI"
"13 Sep, 19:25","13 sept, 19:25","13 sept, 19:25","13 sept, 19:25",DATA,
Sydney Airport,Aeropuerto El Dorado,Aeropuerto El Dorado,Aeropuerto El Dorado,DATA,
"187 Mimosa Rd, Greenacre NSW Learning Genius Early Learning","Calle 170 # 45-12, Suba","Calle 170 # 45-12, Suba","Calle 170 # 45-12, Suba",DATA,
$11.50,COP 14.000,"S/ 13,50",$3.50,DATA,
"10 Sep, 8:58","10 sept, 8:58","10 sept, 8:58","10 sept, 8:58",DATA,
1597 Anzac Parade (La Perouse),Carrera 30 # 45-03 (Teusaquillo),Carrera 30 # 45-03 (Teusaquillo),Carrera 30 # 45-03 (Teusaquillo),DATA,
"Panayioti Tsangari 23, Limassol, Cyprus",Calle 53 # 24-10 (Teusaquillo),Calle 53 # 24-10 (Teusaquillo),Calle 53 # 24-10 (Teusaquillo),DATA,
You cancelled,Cancelaste el viaje,Cancelaste el viaje,Cancelaste el viaje,UI,
"13 Sep, 20:37","13 sept, 20:37","13 sept, 20:37","13 sept, 20:37",DATA,
"Regus - Limasol, Victory House","Torre Colpatria, Bogotá","Torre Colpatria, Bogotá","Torre Colpatria, Bogotá",DATA,
Ride history,Historial de viajes,Historial de viajes,Historial de viajes,UI,
Live Activity,Actividad en vivo,Actividad en vivo,Actividad en vivo,UI,
Pickup in ~8 min,Recogida en ~8 min,Recogida en ~8 min,Recogida en ~8 min,UI,
ขส1993 พระนครศรีอยุธยา · White Mercedes Benz E-class,ABC123 · Mercedes-Benz Clase E Blanco,ABC123 · Mercedes-Benz Clase E Blanco,ABC123 · Mercedes-Benz Clase E Blanco,DATA,"было на тайском, заменено на колумбийский номер"
"Tuesday, 23 June","Martes, 23 de junio","Martes, 23 de junio","Martes, 23 de junio",DATA,
Main form,,,,SKIP,служебный заголовок секции
"Burnett Ln, Brisbane City","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá",DATA,
Courier delivery,Domicilio,Domicilio,Domicilio,UI,заголовок экрана заказа
"33 Burnett Ln, Brisbane City","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá",DATA,"основной пример адреса отправления, повторяется много раз"
Add stops,Agregar paradas,Agregar paradas,Agregar paradas,UI,
Order details,Detalles del pedido,Detalles del pedido,Detalles del pedido,UI,вкладка
Offer your price,Ofrece tu precio,Ofrece tu precio,Ofrece tu precio,UI,вкладка
Find courier ,Buscar mensajero,Buscar mensajero,Buscar mensajero,UI,
Find courier,Buscar mensajero,Buscar mensajero,Buscar mensajero,UI,
from $7,Desde COP 7.000,"Desde S/ 6,50",Desde $1.75,DATA,
w/ Templates,Con plantillas,Con plantillas,Con plantillas,UI,
Templates,Plantillas,Plantillas,Plantillas,UI,
Huge surprise box,Caja sorpresa grande,Caja sorpresa grande,Caja sorpresa grande,DATA,пример содержимого посылки
33 Burnett Ln,Calle 72 # 10-34,Calle 72 # 10-34,Calle 72 # 10-34,DATA,короткая форма того же адреса
"Entrance 1, apt. 15, 4th floor, the intercom does not work, call the concierge","Entrada 1, apto. 15, piso 4, el citófono no funciona, llamar al portero","Entrada 1, apto. 15, piso 4, el citófono no funciona, llamar al portero","Entrada 1, apto. 15, piso 4, el citófono no funciona, llamar al portero",DATA,
Pennsylvania Plaza,Centro Comercial Santafé,Centro Comercial Santafé,Centro Comercial Santafé,DATA,"основной пример адреса доставки, повторяется много раз"
2 more stops,2 paradas más,2 paradas más,2 paradas más,UI,
Filled form,,,,SKIP,служебная подпись на канвасе
"To building, +527... to +527055","A edificio, +57 300... a +57 305","A edificio, +51 987... a +51 988","A edificio, +593 987... a +593 988",DATA,сжатое превью двух телефонов
"$30, Cash","COP 45.000, Efectivo","S/ 43,00, Efectivo","$11.25, Efectivo",DATA,
Bookmarks,Guardados,Guardados,Guardados,UI,
Where to,¿A dónde?,¿A dónde?,¿A dónde?,UI,
от 1500 ₸,desde COP 6.000,"desde S/ 5,50",desde $1.50,DATA,было в казахских тенге
from 13R$,desde COP 9.000,"desde S/ 8,50",desde $2.25,DATA,было в бразильских реалах
Work,Trabajo,Trabajo,Trabajo,UI,метка сохранённого адреса
Save address,Guardar dirección,Guardar dirección,Guardar dirección,UI,
More,Más,Más,Más,UI,
"Brooklyn, NY","Chapinero, Bogotá","Chapinero, Bogotá","Chapinero, Bogotá",DATA,
3 stops,3 paradas,3 paradas,3 paradas,UI,
Business delivery mode ,Modo entrega empresarial ,Modo entrega empresarial ,Modo entrega empresarial ,UI,
"More opportunities, for no extra cost","Más beneficios, sin costo adicional","Más beneficios, sin costo adicional","Más beneficios, sin costo adicional",UI,
Try now,Probar ahora,Probar ahora,Probar ahora,UI,
 Enter your route, Ingresa tu ruta, Ingresa tu ruta, Ingresa tu ruta,UI,
Achievement 1st Bushwick MS,Colegio La Salle,Colegio La Salle,Colegio La Salle,DATA,
Suggested,Sugeridos,Sugeridos,Sugeridos,UI,
Saved,Guardados,Guardados,Guardados,UI,
New York,Bogotá,Bogotá,Bogotá,DATA,короткая форма адреса-подзаголовка
/ DTD,,,,SKIP,служебная подпись
/DTD,,,,SKIP,служебная подпись
Car ~ $10,En carro ~ COP 15.000,"En carro ~ S/ 14,00",En carro ~ $3.75,DATA,
Motorcycle ~ $10,En moto ~ COP 15.000,"En moto ~ S/ 14,00",En moto ~ $3.75,DATA,
Bike,En bicicleta,En bicicleta,En bicicleta,UI,
Foot courier,A pie,A pie,A pie,UI,подтверждено референсом
От двери до двери,Puerta a puerta,Puerta a puerta,Puerta a puerta,UI,было на русском по ошибке
Термосумка,Maleta térmica,Maleta térmica,Maleta térmica,UI,было на русском; подтверждено референсом UI Examples/Colombia.png
How to deliver,Cómo entregar,Cómo entregar,Cómo entregar,UI,
To building,A edificio,A edificio,A edificio,UI,
To door,A la puerta,A la puerta,A la puerta,UI,
Where to pick up,Dónde recoger,Dónde recoger,Dónde recoger,UI,
Where to deliver,Dónde entregar,Dónde entregar,Dónde entregar,UI,
"Street, building","Calle, edificio","Calle, edificio","Calle, edificio",UI,
Address details,Detalles de la dirección,Detalles de la dirección,Detalles de la dirección,UI,
Sender's phone,Teléfono del remitente,Teléfono del remitente,Teléfono del remitente,UI,
+79876543221,+57 300 123 4567,+51 987 654 321,+593 98 765 4321,DATA,было в российском формате
Add stop,Agregar parada,Agregar parada,Agregar parada,UI,
Entrance,Entrada,Entrada,Entrada,UI,
"Floor, apartment, entryphone","Piso, apartamento, citófono","Piso, apartamento, citófono","Piso, apartamento, citófono",UI,
Recipient's phone,Teléfono del destinatario,Teléfono del destinatario,Teléfono del destinatario,UI,
What to deliver,Qué entregar,Qué entregar,Qué entregar,UI,
"Comments for courier
","Comentarios para el mensajero
","Comentarios para el mensajero
","Comentarios para el mensajero
",UI,
$7,COP 7.000,S/ 6.00,$1.75,DATA,"базовая цена ""от"", повторяется много раз одинаково"
Most complex form,,,,SKIP,служебная подпись
Coverage,Cobertura,Cobertura,Cobertura,UI,
New,Nuevo,Nuevo,Nuevo,UI,бейдж
Up to $50 if package is damaged or missing during delivery,Hasta COP 180.000 si el paquete se daña o se pierde durante la entrega,"Hasta S/ 171,00 si el paquete se daña o se pierde durante la entrega",Hasta $45.00 si el paquete se daña o se pierde durante la entrega,DATA,
Delivery protection,Protección de envío,Protección de envío,Protección de envío,UI,
Confirmation code,Código de confirmación,Código de confirmación,Código de confirmación,UI,
up to 5kg,hasta 5 kg,hasta 5 kg,hasta 5 kg,UI,
up to 15kg,hasta 15 kg,hasta 15 kg,hasta 15 kg,UI,
up to 25kg,hasta 25 kg,hasta 25 kg,hasta 25 kg,UI,
Flowers,Flores,Flores,Flores,UI,подтверждено референсом
Documents,Documentos,Documentos,Documentos,UI,
Desserts,Postres,Postres,Postres,UI,
Pharmacy,Farmacia,Farmacia,Farmacia,UI,подтверждено референсом
"Dentistry equipment
","Equipo dental
","Equipo dental
","Equipo dental
",DATA,
Save,Guardar,Guardar,Guardar,UI,подтверждено референсом
Arriving in 7 min,Llega en 7 min,Llega en 7 min,Llega en 7 min,UI,
...Molodezhnay – Osennaya St 7,...Carrera 15 – Calle 93 #7,...Carrera 15 – Calle 93 #7,...Carrera 15 – Calle 93 #7,DATA,было на русском
Car ,En carro ,En carro ,En carro ,UI,
Motorcycle ,En moto ,En moto ,En moto ,UI,
Bike ,En bicicleta ,En bicicleta ,En bicicleta ,UI,
+52 777 014 78 60,+57 300 123 4567,+51 987 654 321,+593 98 765 4321,DATA,"было в мексиканском формате, тот же номер что и остальные телефоны"
"4th floor, 132 apt","Piso 4, apto 132","Piso 4, apto 132","Piso 4, apto 132",DATA,
"2 floor, 25 apt","Piso 2, apto 25","Piso 2, apto 25","Piso 2, apto 25",DATA,
Dentistry equipment,Equipo dental,Equipo dental,Equipo dental,DATA,
Multipoints management,,,,SKIP,служебная подпись
Offer,,,,SKIP,служебный заголовок секции
Offer / P2P users,,,,SKIP,служебная подпись
Offer / B2B users,,,,SKIP,служебная подпись
Where from,Desde dónde,Desde dónde,Desde dónde,UI,
Сourier delivery,Domicilio,Domicilio,Domicilio,UI,"опечатка в оригинале (кириллическая С), тот же смысл что Courier delivery"
Recommended price: $20,Precio recomendado: COP 25.000,"Precio recomendado: S/ 24,00",Precio recomendado: $6.25,DATA,
Car ~ 2200₸ ,En carro ~ COP 15.000,"En carro ~ S/ 14,00",En carro ~ $3.75,DATA,было в тенге
Moto ~ 2000₸,En moto ~ COP 13.000,"En moto ~ S/ 12,50",En moto ~ $3.25,DATA,было в тенге
Foot ~ 1700₸ ,A pie ~ COP 8.000,"A pie ~ S/ 7,50",A pie ~ $2.00,DATA,было в тенге
Cash,Efectivo,Efectivo,Efectivo,UI,
$,,,,CHECK,"символ валюты в степпере ввода цены; в остальном UI решили не использовать $ для COP - нужно смотреть по месту, возможно оставить как есть или убрать"
Recommended price,Precio recomendado,Precio recomendado,Precio recomendado,UI,
Car,En carro,En carro,En carro,UI,
~$45,~COP 45.000,"~S/ 43,00",~$11.25,DATA,
Motorcycle,En moto,En moto,En moto,UI,
~ $25,~COP 25.000,"~S/ 24,00",~$6.25,DATA,
~$25,~COP 20.000,"~S/ 19,00",~$5.00,DATA,"повторяется дважды (Bike и Foot courier), получит одно и то же значение"
Recipient pays for delivery,El destinatario paga el envío,El destinatario paga el envío,El destinatario paga el envío,UI,
"To courier, when package arrives","Al mensajero, cuando llegue el paquete","Al mensajero, cuando llegue el paquete","Al mensajero, cuando llegue el paquete",UI,
Done,Listo,Listo,Listo,UI,
Prime,Prime,Prime,Prime,UI,"оставляем как есть, названия тарифов обычно не переводят"
Car ~ $15,En carro ~ COP 15.000,"En carro ~ S/ 14,00",En carro ~ $3.75,DATA,
Motorcycle ~ $7,En moto ~ COP 10.000,"En moto ~ S/ 9,50",En moto ~ $2.50,DATA,
Courier auto-choice,Elección automática de mensajero,Elección automática de mensajero,Elección automática de mensajero,UI,
Based on your settings,Según tu configuración,Según tu configuración,Según tu configuración,UI,
Only the recommended price includes a 10% discount,Solo el precio recomendado incluye un 10% de descuento,Solo el precio recomendado incluye un 10% de descuento,Solo el precio recomendado incluye un 10% de descuento,UI,
Alex,Carlos,Carlos,Carlos,DATA,курьер на карточке ставки (авто VW Golf) -> имя+фото Carlos.png из Userpics
Any pickup notes for courier?,¿Alguna nota de recogida para el mensajero?,¿Alguna nota de recogida para el mensajero?,¿Alguna nota de recogida para el mensajero?,UI,
Bids,,,,SKIP,служебный заголовок секции
Box of candies,Caja de dulces,Caja de dulces,Caja de dulces,DATA,
Bushwick Ave,Avenida Caracas,Avenida Caracas,Avenida Caracas,DATA,
Bushwick Green Cleaners,Lavandería Verde,Lavandería Verde,Lavandería Verde,DATA,
Bushwick Green|,Lavandería Verde|,Lavandería Verde|,Lavandería Verde|,DATA,"с курсором автодополнения, оставлен | как есть"
Cancel,Cancelar,Cancelar,Cancelar,UI,
Cancel and edit,Cancelar y editar,Cancelar y editar,Cancelar y editar,UI,
Cancel order,Cancelar pedido,Cancelar pedido,Cancelar pedido,UI,
Cancel request,Cancelar solicitud,Cancelar solicitud,Cancelar solicitud,UI,
Cancel this request?,¿Cancelar esta solicitud?,¿Cancelar esta solicitud?,¿Cancelar esta solicitud?,UI,
Car courier,En carro,En carro,En carro,UI,подтверждено референсом
Cargo moving in 3 hours,Mudanza en 3 horas,Mudanza en 3 horas,Mudanza en 3 horas,UI,дубль
Centro médico... Santiago Távara,Clínica Country,Clínica Country,Clínica Country,DATA,дубль
Change price,Cambiar precio,Cambiar precio,Cambiar precio,UI,
Child seat,Silla para niños,Silla para niños,Silla para niños,UI,
Circular Quay,Parque de la 93,Parque de la 93,Parque de la 93,DATA,
Clarify address,Aclarar dirección,Aclarar dirección,Aclarar dirección,UI,
Courier is waiting for you — 0:00 Long waits can affect your rating,El mensajero te está esperando — 0:00 Las esperas largas pueden afectar tu calificación,El mensajero te está esperando — 0:00 Las esperas largas pueden afectar tu calificación,El mensajero te está esperando — 0:00 Las esperas largas pueden afectar tu calificación,UI,
Courier is waiting for you — 4:50,El mensajero te está esperando — 4:50,El mensajero te está esperando — 4:50,El mensajero te está esperando — 4:50,UI,
Courier matches the details shown in the app,El mensajero coincide con los datos que se muestran en la app,El mensajero coincide con los datos que se muestran en la app,El mensajero coincide con los datos que se muestran en la app,UI,
Courier on the way to Pennsylvania Plaza,El mensajero va camino a Centro Comercial Santafé,El mensajero va camino a Centro Comercial Santafé,El mensajero va camino a Centro Comercial Santafé,UI,
Courier will arrive in ~8 min,El mensajero llega en ~8 min,El mensajero llega en ~8 min,El mensajero llega en ~8 min,UI,
DTD confirmation,Confirmación puerta a puerta,Confirmación puerta a puerta,Confirmación puerta a puerta,UI,"исправлено по замечанию пользователя: DTD = Door-to-Door, это реальный текст (заголовок экрана подтверждения доставки ""от двери до двери""), а не служебная канвас-метка вроде /DTD — но точный контекст стоит перепроверить скриншотом при возобновлении работы"
Delivery Terms of Use,Términos de uso de la entrega,Términos de uso de la entrega,Términos de uso de la entrega,UI,
Delivery completed,Entrega completada,Entrega completada,Entrega completada,UI,
Delivery confirmation,Confirmación de entrega,Confirmación de entrega,Confirmación de entrega,UI,
Delivery info,Información de la entrega,Información de la entrega,Información de la entrega,UI,
Did the courier pick up the package at your door?,¿El mensajero recogió el paquete en tu puerta?,¿El mensajero recogió el paquete en tu puerta?,¿El mensajero recogió el paquete en tu puerta?,UI,
Edit details,Editar detalles,Editar detalles,Editar detalles,UI,
English,,,,SKIP,"клавиша переключения языка системной клавиатуры, не трогать"
Filled text,,,,CHECK,"похоже на дизайн-плейсхолдер, проверить видимость в реальном UI"
Form with Multilocations,,,,SKIP,служебная подпись
DEF,,,,SKIP,"буквы номеронабирателя, системный компонент"
A,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
B,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
C,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
D,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
E,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
F,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
G,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
H,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
I,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
J,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
K,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
L,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
M,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
N,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
O,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
P,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
Q,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
R,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
S,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
T,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
U,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
V,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
W,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
X,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
Y,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
Z,,,,SKIP,"буква экранной QWERTY-клавиатуры, системный компонент"
 ,,,,SKIP,клавиша пробела экранной клавиатуры
",",,,,SKIP,клавиша запятой экранной клавиатуры
.,,,,SKIP,клавиша точки экранной клавиатуры
?123,,,,SKIP,клавиша переключения режима экранной клавиатуры
0,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
1,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
2,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
3,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
4,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
5,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
6,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
7,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
8,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
9,,,,SKIP,"цифра числового набора (номеронабиратель/степпер), не переводится"
* #,,,,SKIP,клавиши номеронабирателя
+,,,,SKIP,клавиша номеронабирателя
0/200,0/200,0/200,0/200,DATA,"счётчик символов, универсальный формат"
ABC,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
GHI,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
JKL,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
MNO,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
PQRS,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
TUV,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
WXYZ,,,,SKIP,"буквы номеронабирателя (T9), системный компонент, как DEF"
Order statuses,,,,SKIP,служебный заголовок секции (7-я группа экранов)
Search for courier,,,,SKIP,служебный заголовок секции (5-я группа экранов)
Side menu,,,,SKIP,служебная подпись на канвасе
Multilocations,,,,SKIP,служебная подпись на канвасе
Warning (BDU),,,,SKIP,похоже на служебное имя компонента-иконки
Banner,,,,CHECK,"похоже на служебное имя слоя, а не реальный текст — проверить видимость"
Label,,,,CHECK,"похоже на дизайн-плейсхолдер, проверить видимость в реальном UI"
Text,,,,CHECK,"похоже на дизайн-плейсхолдер, проверить видимость (см. также Filled text)"
Help text,,,,CHECK,"похоже на дизайн-плейсхолдер подсказки, проверить видимость"
Scroll,Desplázate,Desplázate,Desplázate,CHECK,"неоднозначно — подсказка скролла или служебная метка, проверить"
+2,,,,CHECK,"неоднозначно — бейдж счётчика (+2 ещё) или контрол зума, проверить по месту"
-2,,,,CHECK,"неоднозначно, проверить по месту"
(132),(132),(132),(132),DATA,"число в скобках, контекст не определён — оставлено как есть"
(895),(895),(895),(895),DATA,"число в скобках, контекст не определён — оставлено как есть"
(896),(896),(896),(896),DATA,"число в скобках, контекст не определён — оставлено как есть"
9:41,9:41,9:41,9:41,DATA,"часы в статус-баре, формат универсален"
80%,80%,80%,80%,DATA,заряд батареи в статус-баре
10:45,10:45,10:45,10:45,DATA,"таймстемп, формат универсален"
20:30,20:30,20:30,20:30,DATA,"таймстемп, формат универсален"
1.2 km,"1,2 km","1,2 km","1,2 km",DATA,испанский формат — запятая вместо точки
11 km,11 km,11 km,11 km,DATA,
